Sound Analyzer App: v2.4
Mode : 	Bandes de ⅓ d'Octave / A-Weighting / Fast-Weighting (125 ms)
Unité : 	 dBA
Dernier calibrage : 	3 févr. 2021 - 16:11:45
Date : 	27 mai 2021
Heure : 	11:27:43 a.m.
Durée (s) : 	15.046531
Overflow : 	0
Temps (s) :  / Fréquences médianes	25 Hz	31.5 Hz	40 Hz	50 Hz	63 Hz	80 Hz	100 Hz	125 Hz	160 Hz	200 Hz	250 Hz	315 Hz	400 Hz	500 Hz	630 Hz	800 Hz	1000 Hz	1250 Hz	1600 Hz	2000 Hz	2500 Hz	3150 Hz	4000 Hz	5000 Hz	6300 Hz	8000 Hz	10000 Hz	12500 Hz	16000 Hz	Global
3.157914	-8.76	-1.78	-6.05	0.93	6.65	10.41	14.41	12.75	15.69	17.45	20.54	25.35	27.00	38.19	47.77	42.86	47.80	46.66	45.87	43.86	45.34	44.59	43.99	49.15	35.78	41.32	43.47	37.63	35.51	56.77
3.250794	-10.12	-2.01	-2.74	0.78	4.64	11.01	13.80	12.30	14.85	18.49	20.67	25.32	27.45	39.21	48.08	43.47	48.31	45.92	46.06	43.90	44.85	44.73	44.12	49.88	36.25	40.91	43.10	37.69	35.29	56.97
3.343673	-9.44	-1.11	-3.89	3.67	6.66	11.17	13.89	11.73	15.18	18.79	22.14	24.73	27.71	38.45	48.38	42.68	48.07	45.85	47.02	44.18	44.74	44.82	43.82	49.51	36.05	40.99	43.19	37.97	35.37	56.95
3.436553	-8.94	-1.42	-3.92	2.90	5.19	8.88	13.83	14.30	19.12	19.04	24.13	25.15	27.68	37.48	47.03	43.25	48.38	46.00	46.15	43.82	44.64	44.66	44.13	50.09	36.61	41.46	43.38	38.19	35.35	56.89
3.529433	-9.17	1.54	-2.93	0.36	3.65	6.43	13.06	17.99	18.27	17.97	24.88	25.26	27.11	37.40	45.78	43.29	48.32	45.75	46.28	44.11	45.00	44.09	43.95	49.76	36.54	41.45	43.38	38.14	35.32	56.69
3.622313	-9.00	0.62	-3.54	0.98	4.65	4.83	12.98	17.48	16.78	16.96	24.15	25.10	27.98	37.48	45.56	44.37	47.60	44.59	46.26	43.77	44.81	43.98	44.36	49.86	36.11	41.16	43.36	38.07	35.28	56.54
3.715193	-7.45	0.51	-5.52	0.92	6.31	3.95	13.54	16.00	15.82	17.43	23.88	25.43	27.55	38.67	47.97	44.28	47.47	44.83	45.62	43.81	44.88	44.16	44.04	49.78	35.82	41.11	43.33	37.76	35.03	56.72
3.808073	-7.12	-0.50	-4.80	0.07	6.83	2.84	11.44	14.13	15.96	18.52	21.98	25.08	27.83	39.64	49.06	44.96	47.10	44.72	45.92	43.48	45.32	44.19	44.12	49.81	36.13	40.95	43.22	37.75	35.06	56.93
3.900952	-7.44	0.28	-6.55	0.44	8.17	6.05	11.32	12.09	17.88	20.48	22.59	24.00	28.46	40.09	48.67	45.65	46.87	44.56	46.18	43.47	44.81	44.15	44.21	49.81	35.88	41.13	43.36	37.80	35.09	56.89
3.993832	-6.64	-0.20	-6.73	3.21	8.77	5.48	9.36	10.35	16.49	21.14	21.23	23.98	27.17	39.58	49.08	44.94	46.49	44.62	45.56	44.19	45.40	44.22	43.92	49.35	35.98	41.00	43.22	37.67	35.38	56.78
4.086712	-8.27	-0.49	-5.29	3.47	8.80	4.11	13.01	12.40	15.10	21.45	21.38	24.94	27.39	38.96	48.65	44.90	47.26	44.89	45.83	44.13	44.82	44.60	44.19	50.03	36.00	41.50	43.20	37.34	35.14	56.95
4.179592	-9.31	-1.47	-4.31	2.77	8.81	7.76	13.69	13.75	14.24	19.03	21.23	23.53	27.29	38.67	47.93	45.15	47.65	45.19	46.08	44.08	45.04	44.50	43.87	50.12	36.10	41.06	43.19	37.27	34.90	56.94
4.272472	-9.68	-2.57	-5.52	1.96	9.22	7.16	13.28	13.59	16.05	18.71	20.64	23.40	27.87	38.75	48.56	44.69	47.29	44.77	46.69	43.74	44.75	43.92	43.25	49.53	35.70	40.71	43.39	37.51	35.20	56.77
4.365351	-10.46	-3.00	-6.69	3.84	10.76	10.10	14.97	12.67	15.94	17.47	20.13	24.82	27.34	38.67	47.90	44.34	45.96	44.31	46.65	43.82	44.43	44.16	43.82	49.53	35.77	40.77	43.28	37.52	35.28	56.51
4.458231	-12.46	-4.75	-5.96	2.79	10.51	9.09	14.74	14.63	14.55	19.66	20.43	23.82	27.05	38.81	47.10	43.92	45.98	43.59	46.77	43.55	44.91	44.27	43.80	49.15	35.88	41.09	43.22	37.59	35.27	56.32
4.551111	-11.40	-4.40	-5.08	2.16	9.01	7.98	14.90	13.69	15.01	19.01	20.96	23.71	27.16	38.93	46.19	45.33	45.92	44.10	46.40	43.04	45.01	44.09	43.43	48.52	35.82	41.38	43.23	37.65	35.18	56.14
4.643991	-13.67	-4.34	-5.17	2.23	7.48	7.34	13.55	12.83	15.48	18.44	21.08	23.08	28.03	38.62	46.47	43.85	46.06	45.37	46.77	43.25	44.70	44.61	43.48	49.12	35.67	41.38	43.63	37.71	35.21	56.36
4.736871	-11.15	-5.09	-5.94	1.35	7.55	9.85	13.75	13.26	14.40	17.43	20.78	23.56	28.55	38.51	46.40	43.35	46.43	44.74	45.54	43.77	44.72	44.65	43.72	49.25	35.74	41.04	43.31	37.67	35.27	56.24
4.829751	-12.43	-5.35	-6.34	0.90	8.33	8.65	13.95	14.72	17.05	17.96	22.72	23.17	28.84	37.87	47.23	44.49	46.09	43.76	45.07	43.70	45.05	44.31	43.55	49.68	35.89	41.09	43.98	37.75	35.22	56.37
4.922630	-12.55	-7.27	-7.21	-0.67	6.23	6.87	13.39	13.54	15.70	18.76	22.53	24.29	29.08	37.49	47.21	44.68	47.20	45.44	45.65	43.46	44.57	44.52	43.49	49.21	36.35	41.35	43.67	37.31	35.05	56.51
5.015510	-13.21	-3.96	-4.35	-0.23	5.52	9.66	13.03	14.02	18.20	18.53	20.84	24.40	28.42	38.51	47.86	44.64	47.81	45.62	46.35	43.62	44.69	44.02	43.09	49.34	36.28	41.36	43.60	37.49	35.27	56.74
5.108390	-15.38	-5.37	-4.30	-1.05	5.31	8.02	14.18	14.68	16.34	17.28	20.58	23.63	27.88	37.52	47.26	44.60	48.98	45.51	45.49	43.87	44.93	44.77	43.70	49.24	36.05	41.42	43.94	37.22	35.36	56.84
5.201270	-15.80	-4.60	-5.40	-1.37	6.02	7.77	13.05	13.03	14.20	16.04	20.67	24.42	28.37	38.26	49.01	43.56	47.77	44.88	45.13	43.15	44.52	44.53	43.43	48.50	35.82	41.63	43.52	37.38	35.32	56.56
5.294150	-17.04	-7.06	-4.22	-1.49	6.26	7.13	11.79	12.87	13.46	16.69	20.03	23.43	28.33	38.47	49.28	44.36	48.68	45.11	45.87	43.84	44.80	44.32	43.31	48.84	35.91	41.75	43.89	37.56	35.33	56.96
5.387029	-19.79	-8.17	-2.79	0.24	6.53	8.59	13.37	13.60	15.95	18.34	20.73	24.18	27.79	39.39	49.06	45.15	47.57	44.73	46.88	44.49	44.62	44.15	43.51	49.16	36.05	41.49	43.89	37.57	35.48	56.98
5.479909	-17.47	-10.30	-3.51	1.40	7.77	9.68	15.14	14.51	15.83	18.21	22.22	23.16	28.22	37.92	48.45	44.26	47.19	45.08	46.33	44.19	44.74	44.12	43.54	48.64	36.06	41.19	43.69	37.35	35.18	56.61
5.572789	-17.51	-11.44	-5.15	0.28	7.12	11.23	15.97	13.45	15.25	17.26	21.14	23.44	28.19	38.47	49.48	44.85	46.77	44.46	45.44	43.09	44.23	44.22	43.90	49.14	36.24	41.04	43.58	37.34	35.08	56.68
5.665669	-18.64	-8.07	-5.81	-0.90	6.86	10.05	14.65	12.13	16.38	18.28	21.78	23.90	29.62	38.54	48.04	44.14	46.79	44.22	45.85	43.70	44.59	43.65	43.58	49.44	35.94	41.38	43.62	37.22	35.23	56.50
5.758549	-19.63	-8.40	-3.57	1.08	5.18	8.96	13.61	11.46	16.71	20.34	22.23	24.64	28.19	38.67	48.85	44.53	45.65	43.20	45.98	44.47	44.34	43.25	43.23	48.95	36.25	41.19	43.64	37.29	35.29	56.40
5.851429	-19.57	-7.19	-4.74	2.90	10.46	6.76	12.68	12.45	16.93	19.03	21.79	25.57	28.26	39.28	48.18	45.05	45.10	43.69	45.57	44.07	44.44	43.71	43.61	49.22	36.13	41.49	43.72	37.20	35.44	56.37
5.944308	-18.75	-7.15	-1.67	2.43	10.08	5.01	13.32	11.93	16.88	18.05	23.75	25.76	29.67	37.71	47.95	45.91	45.65	44.05	45.97	44.07	45.02	43.95	43.71	49.59	35.96	41.02	43.58	37.56	35.26	56.59
6.037188	-18.35	-4.04	-2.97	1.65	10.33	7.17	11.36	10.81	15.49	17.69	22.77	24.88	29.75	38.17	47.81	45.16	46.85	43.75	45.85	44.36	45.01	43.73	43.66	49.45	35.78	40.89	43.61	37.38	35.57	56.57
6.130068	-16.86	-6.07	-4.88	0.51	8.99	6.83	12.61	12.68	14.74	17.06	23.15	24.46	29.08	37.98	47.95	44.48	46.65	44.59	45.17	43.56	44.80	44.03	43.65	49.48	35.82	41.25	43.54	37.36	35.30	56.48
6.222948	-13.38	-4.75	-6.31	0.55	9.31	5.42	13.83	13.13	13.41	17.86	25.39	23.57	28.08	38.89	47.85	44.50	46.18	44.07	45.29	43.60	44.45	43.97	43.46	49.18	35.90	41.50	43.81	37.37	35.52	56.34
6.315828	-11.31	-3.70	-4.32	1.47	7.95	7.06	13.41	11.72	15.42	17.10	24.55	24.95	28.74	39.62	48.42	44.62	46.49	44.51	46.05	44.32	45.60	43.66	43.65	49.22	36.03	41.61	43.30	37.44	35.54	56.67
6.408707	-12.07	-0.29	-3.84	0.81	6.99	4.50	11.76	13.43	13.83	16.61	24.68	26.86	28.22	38.91	48.92	45.21	45.69	44.12	45.46	44.13	44.82	43.66	43.69	49.04	36.28	41.57	43.20	37.85	35.50	56.54
6.501587	-13.00	-2.79	-4.20	-0.14	5.02	8.38	11.43	12.89	18.10	17.65	22.72	26.66	28.01	38.66	49.32	45.44	45.82	44.08	45.34	44.16	44.58	43.76	43.86	49.19	36.22	41.34	42.95	37.95	35.47	56.63
6.594467	-12.13	-3.34	-4.27	-1.77	5.91	7.71	12.42	12.91	16.33	17.50	21.48	25.71	29.18	38.01	48.17	45.69	46.94	44.62	46.42	43.83	44.62	43.91	43.75	48.69	35.69	41.28	43.34	37.97	35.25	56.59
6.687347	-10.30	-2.29	-3.96	-3.16	4.01	8.43	15.21	13.16	15.35	18.56	21.23	25.98	29.02	38.91	48.25	44.89	46.13	44.72	46.36	43.69	44.89	44.38	44.32	49.02	35.69	40.71	43.33	37.94	35.37	56.59
6.780227	-11.43	-2.72	-3.22	-2.99	9.21	8.55	15.23	13.10	15.73	18.83	21.14	25.25	28.40	38.23	47.08	46.12	47.26	45.46	46.38	43.67	44.56	44.31	43.73	49.37	35.92	40.75	43.25	37.69	35.46	56.69
6.873107	-12.75	-3.96	-5.53	-1.96	10.05	5.90	14.38	12.71	15.97	17.35	20.94	24.24	27.99	39.11	47.68	44.95	46.55	44.27	45.83	44.08	44.79	43.78	43.95	49.43	35.81	40.69	43.64	37.72	35.31	56.53
6.965986	-9.82	-4.79	-7.96	-4.48	7.56	7.18	16.48	14.60	16.60	17.42	20.69	24.11	27.54	37.98	48.42	45.27	46.09	43.80	45.39	43.44	44.90	44.10	44.15	49.71	36.00	40.61	43.32	37.87	35.29	56.58
7.058866	-10.66	-3.08	-6.70	-0.87	6.12	6.41	16.95	14.66	15.18	18.14	20.26	24.08	27.28	37.72	48.41	44.24	47.14	44.57	46.23	43.82	45.31	44.14	43.96	49.41	35.92	40.48	43.25	38.00	35.09	56.70
7.151746	-8.86	-2.50	-8.94	-1.63	7.01	7.76	15.57	13.39	17.26	17.55	22.85	24.02	27.84	37.15	47.74	44.35	47.18	45.40	45.96	43.13	45.04	43.65	43.70	49.45	36.03	40.66	43.32	37.84	35.28	56.56
7.244626	-8.78	-2.81	-10.37	0.14	9.70	6.82	17.51	14.66	15.38	18.48	21.79	24.53	28.84	37.41	47.13	44.05	46.55	44.63	46.47	43.24	44.70	43.95	43.90	49.42	35.98	40.42	43.25	37.93	35.35	56.39
7.337506	-8.11	-1.25	-7.90	0.37	9.03	7.26	15.49	13.06	15.28	18.80	22.36	24.52	27.98	37.05	47.38	44.83	45.94	44.75	46.22	43.47	44.86	44.81	43.62	49.39	36.05	40.44	43.26	37.78	35.36	56.45
7.430385	-7.69	-2.13	-9.50	0.79	9.97	5.56	16.39	13.63	17.55	18.52	22.45	24.67	28.66	38.78	47.94	44.27	45.96	44.73	46.08	43.22	44.31	44.60	43.99	49.80	36.09	40.12	43.41	37.95	35.60	56.54
7.523265	-8.82	-0.70	-6.37	-0.82	8.96	9.23	17.61	14.06	16.86	17.66	20.93	24.52	27.57	39.03	48.04	42.70	45.43	44.33	46.06	43.22	44.89	44.72	44.03	49.30	35.99	40.30	43.53	37.79	35.43	56.36
7.616145	-8.69	-2.08	-7.71	3.78	11.51	8.81	15.52	13.19	16.34	17.02	18.83	23.78	26.74	40.04	47.44	42.91	45.79	44.58	46.47	43.51	45.21	44.53	44.16	49.57	36.28	40.36	43.70	37.52	35.42	56.49
7.709025	-9.07	0.10	-9.46	5.86	13.75	9.08	13.54	12.16	15.53	18.09	20.01	24.79	27.93	38.45	46.71	44.82	46.36	44.43	46.53	43.43	44.82	44.07	43.71	49.16	36.33	40.75	43.40	37.65	35.30	56.36
7.801905	-10.02	-1.51	-8.33	5.56	15.20	9.42	11.75	11.82	15.35	17.65	21.15	24.49	27.84	38.62	48.24	44.97	46.67	44.74	46.49	43.02	44.45	43.80	43.39	49.08	36.18	40.81	43.16	37.68	35.23	56.51
7.894785	-10.21	-2.05	-6.11	4.69	13.73	9.51	10.81	11.83	14.56	16.50	19.83	26.73	29.09	38.13	47.43	44.08	45.60	44.14	46.25	43.79	44.59	44.10	43.54	49.01	36.17	40.83	43.08	37.50	35.35	56.23
7.987664	-11.34	-3.35	-5.40	2.60	10.93	7.56	12.55	11.96	13.23	18.81	22.70	25.79	28.26	37.77	46.39	45.14	46.86	44.97	46.81	43.46	44.49	44.11	43.40	49.48	36.19	41.18	43.24	37.53	35.19	56.49
8.080544	-11.00	-3.86	-6.80	1.62	9.15	6.80	9.72	10.46	14.83	18.23	21.35	25.31	27.86	37.55	46.77	45.06	46.18	44.87	46.07	43.56	44.44	44.50	43.76	49.79	36.12	41.10	43.20	37.56	35.22	56.47
8.173424	-11.19	-4.16	-4.00	2.26	7.12	7.30	12.48	8.78	12.43	18.02	23.16	24.14	27.09	36.49	46.35	44.42	47.60	45.19	45.94	43.50	44.98	44.22	43.28	49.34	35.75	41.24	43.68	37.66	35.12	56.47
8.266304	-11.14	-4.57	-4.07	2.13	6.19	5.66	11.98	9.19	15.16	17.63	21.62	23.65	27.18	37.06	47.96	43.94	48.17	45.49	45.68	43.86	44.44	44.32	43.63	49.73	35.95	41.34	43.82	37.55	35.36	56.80
8.359184	-10.67	-5.81	-1.06	0.27	6.42	4.77	10.12	9.41	17.25	17.88	22.34	24.84	28.04	38.31	49.59	43.87	47.62	44.67	46.40	43.89	44.67	44.02	43.52	49.64	36.15	41.62	43.74	37.68	35.32	56.98
8.452063	-11.59	-3.14	-0.83	3.07	7.06	3.93	12.02	9.03	17.93	17.27	20.81	23.40	26.24	38.20	47.93	43.79	46.50	43.72	46.73	43.99	44.64	43.91	43.57	49.49	36.10	41.34	43.29	37.51	35.43	56.51
8.544943	-12.02	-3.65	-0.07	1.88	8.87	6.20	12.34	9.63	18.41	18.16	20.84	22.76	27.53	38.09	47.99	44.34	47.41	44.24	46.60	44.10	44.73	43.95	43.79	49.51	35.65	41.26	43.53	37.54	35.27	56.69
8.637823	-10.29	-2.36	-1.50	0.81	9.24	7.75	12.01	10.33	17.21	17.08	20.55	25.19	26.15	37.57	47.88	44.56	47.38	44.64	46.33	44.00	44.81	43.98	43.73	49.51	35.74	41.26	43.41	37.14	35.48	56.67
8.730703	-11.65	-4.34	-3.96	3.66	10.22	6.88	11.56	14.54	17.00	17.27	19.33	23.79	26.35	38.36	50.53	44.25	46.96	44.60	47.00	43.92	44.22	43.25	43.64	48.73	35.66	41.32	43.92	37.25	35.34	56.96
8.823583	-11.26	-2.04	-4.83	1.98	11.36	5.19	12.23	14.19	17.65	17.51	20.15	24.37	29.45	37.41	49.24	43.41	47.82	44.59	46.55	43.71	44.31	42.97	43.44	48.44	35.71	41.30	43.60	37.49	35.26	56.61
8.916463	-10.66	-3.79	-6.87	2.37	11.40	5.65	13.07	15.57	16.37	17.96	20.13	24.63	29.42	37.94	48.65	43.81	46.95	44.31	46.18	43.85	44.24	42.88	43.34	48.57	35.93	41.09	43.27	37.24	35.26	56.37
9.009342	-11.97	-3.17	-7.46	1.43	10.49	4.86	12.13	15.84	15.90	17.05	21.47	24.25	28.70	38.28	48.20	43.25	46.85	44.92	46.54	44.10	44.34	43.60	43.10	48.25	35.81	41.23	43.61	37.53	35.20	56.35
9.102222	-10.64	-3.63	-9.39	1.43	9.65	6.65	10.55	13.16	14.85	15.59	20.97	25.32	27.31	38.56	48.11	43.82	47.44	45.28	46.17	43.79	44.22	43.34	42.99	47.92	35.45	41.32	43.73	37.25	35.10	56.34
9.195102	-10.37	-1.60	-4.57	1.61	7.78	8.12	14.51	12.86	15.74	18.28	20.80	24.94	26.97	38.27	47.97	44.14	47.07	44.72	46.55	44.08	44.09	43.38	43.86	49.08	35.31	40.98	43.31	37.10	35.20	56.50
9.287982	-9.92	-1.16	-7.27	1.70	7.82	6.12	13.55	14.55	15.05	18.08	21.44	25.12	26.68	38.93	47.02	43.90	46.36	44.30	46.05	44.23	44.73	44.12	43.99	48.72	35.49	41.06	43.18	37.07	35.35	56.25
