Sound Analyzer App: v2.4
Mode : 	Bandes de ⅓ d'Octave / A-Weighting / Fast-Weighting (125 ms)
Unité : 	 dBA
Dernier calibrage : 	3 févr. 2021 - 16:11:45
Date : 	27 mai 2021
Heure : 	11:53:15 a.m.
Durée (s) : 	12.260136
Overflow : 	0
Temps (s) :  / Fréquences médianes	25 Hz	31.5 Hz	40 Hz	50 Hz	63 Hz	80 Hz	100 Hz	125 Hz	160 Hz	200 Hz	250 Hz	315 Hz	400 Hz	500 Hz	630 Hz	800 Hz	1000 Hz	1250 Hz	1600 Hz	2000 Hz	2500 Hz	3150 Hz	4000 Hz	5000 Hz	6300 Hz	8000 Hz	10000 Hz	12500 Hz	16000 Hz	Global
4.643991	-15.56	-8.28	-5.36	2.64	9.22	6.77	9.31	12.86	19.13	18.25	23.77	26.61	29.96	34.15	38.61	39.32	39.31	39.23	46.45	45.99	43.89	43.72	40.76	37.59	41.23	44.96	48.44	39.93	36.91	55.00
4.736871	-15.01	-7.51	-4.48	1.32	7.06	6.25	8.69	10.58	17.22	19.36	23.94	27.29	30.50	34.07	38.46	39.14	39.83	39.34	46.40	46.32	43.58	43.73	40.73	38.85	41.21	45.05	48.45	39.87	36.97	55.05
4.829751	-16.70	-8.70	-3.78	0.22	6.07	4.07	9.49	12.70	18.31	19.33	21.90	25.87	29.74	32.95	38.10	38.85	38.52	39.20	45.78	45.56	42.72	42.90	39.65	38.31	41.02	45.30	47.73	39.62	37.15	54.49
4.922630	-15.88	-10.50	-4.88	1.66	6.19	6.03	9.96	12.64	16.91	19.80	22.48	26.33	30.38	34.14	38.14	38.73	39.06	40.14	45.79	45.46	43.82	43.13	39.36	38.41	41.20	44.99	48.21	39.64	37.06	54.70
5.015510	-16.53	-7.60	-5.65	0.72	4.44	7.07	9.69	11.25	15.70	19.21	21.93	25.20	30.95	34.18	38.77	41.33	39.34	40.17	46.75	45.42	44.75	43.36	38.83	38.23	41.57	45.08	48.31	39.50	36.98	55.06
5.108390	-18.45	-8.92	-2.97	1.86	7.64	6.87	11.25	11.51	19.07	20.35	22.97	25.88	29.86	34.43	37.74	40.73	40.60	40.28	46.73	45.63	44.40	42.53	39.62	39.00	41.77	45.11	48.05	39.65	37.01	55.00
5.201270	-12.51	-6.50	-2.44	4.12	10.12	5.06	11.23	13.17	19.19	21.32	21.98	25.58	30.80	33.11	36.92	40.56	40.00	39.52	46.45	45.61	44.00	42.57	39.20	37.94	41.34	45.01	47.85	40.02	37.21	54.76
5.294150	-10.43	-4.16	-1.10	4.15	11.54	4.69	13.20	12.50	19.06	20.00	22.05	26.73	30.47	34.57	37.74	41.04	40.73	40.35	46.52	45.70	43.94	42.59	39.05	37.75	41.22	45.22	48.21	39.83	37.14	54.95
5.387029	-12.23	-6.86	-2.43	3.94	10.73	3.77	12.47	11.28	17.98	19.39	21.55	26.46	30.59	35.06	37.68	40.52	40.62	39.15	46.67	45.96	43.32	41.95	38.85	37.91	40.86	45.08	47.93	39.65	37.32	54.77
5.479909	-14.80	-7.47	-3.61	3.63	9.88	5.00	11.23	10.23	16.66	18.80	22.21	27.37	30.16	34.62	37.78	39.19	40.35	39.48	45.76	45.35	43.26	42.34	39.15	37.25	41.37	45.32	48.20	39.27	36.82	54.62
